,#,time,type,order_num,lot,price,s/l,t/p,profit,sum
0,1,2015.01.05 00:25,sell,1,1.0,0.9573,0.9775,0,0.0,10000.0
1,2,2015.01.05 00:28,close,1,1.0,0.9558,0.9775,0,112.16,10112.16
2,3,2015.01.05 22:02,buy,2,1.01,0.9512299999999999,0.9310299999999999,0,0.0,10112.16
3,4,2015.01.05 22:15,buy,3,1.4,0.9509299999999999,0.93073,0,0.0,10112.16
4,5,2015.01.05 23:46,close,2,1.01,0.95119,0.9310299999999999,0,-3.03,10109.13
5,6,2015.01.05 23:46,close,3,1.4,0.9512,0.93073,0,28.27,10137.4
6,7,2015.01.06 22:26,buy,4,1.02,0.9565100000000001,0.9363100000000001,0,0.0,10137.4
7,8,2015.01.07 01:19,close,4,1.02,0.9566,0.9363100000000001,0,7.39,10144.79
8,9,2015.01.12 00:00,sell,5,1.02,0.97319,0.99339,0,0.0,10144.79
9,10,2015.01.12 00:09,sell,6,1.4,0.9736899999999999,0.9938899999999999,0,0.0,10144.79
10,11,2015.01.12 02:15,close,5,1.02,0.9734799999999999,0.99339,0,-22.12,10122.67
11,12,2015.01.12 02:15,close,6,1.4,0.9735,0.9938899999999999,0,19.89,10142.56
12,13,2015.01.20 22:45,sell,7,1.02,0.9897,1.0099,0,0.0,10142.56
13,14,2015.01.20 23:37,sell,8,1.4,0.9903700000000001,1.01057,0,0.0,10142.56
14,15,2015.01.20 23:50,close,7,1.02,0.9890700000000001,1.0099,0,48.05,10190.61
15,16,2015.01.20 23:50,close,8,1.4,0.9890899999999999,1.01057,0,133.99,10324.6
16,17,2015.01.21 22:32,buy,9,1.03,0.99769,0.97749,0,0.0,10324.6
17,18,2015.01.21 23:12,close,9,1.03,0.99918,0.97749,0,114.78,10439.38
18,19,2015.01.22 22:00,buy,10,1.05,0.9967299999999999,0.9765299999999999,0,0.0,10439.38
19,20,2015.01.22 22:03,buy,11,1.44,0.9964299999999999,0.9762299999999999,0,0.0,10439.38
20,21,2015.01.23 00:45,close,10,1.05,0.9944,0.9765299999999999,0,-182.43,10256.95
21,22,2015.01.23 00:45,close,11,1.44,0.99439,0.9762299999999999,0,-218.95,10038.0
22,23,2015.01.26 00:09,buy,12,1.01,0.97887,0.95867,0,0.0,10038.0
23,24,2015.01.26 00:46,close,12,1.01,0.98039,0.95867,0,114.82,10152.82
24,25,2015.01.26 23:04,sell,13,1.02,0.98744,1.0076399999999999,0,0.0,10152.82
25,26,2015.01.26 23:09,sell,14,1.4,0.9879399999999999,1.00814,0,0.0,10152.82
26,27,2015.01.27 00:38,close,13,1.02,0.98744,1.0076399999999999,0,-4.49,10148.33
27,28,2015.01.27 00:38,close,14,1.4,0.98745,1.00814,0,45.12,10193.45
28,29,2015.01.28 22:35,buy,15,1.02,0.98974,0.96954,0,0.0,10193.45
29,30,2015.01.29 00:26,close,15,1.02,0.9898,0.96954,0,6.17,10199.62
30,31,2015.02.02 00:10,buy,16,1.02,0.98388,0.96368,0,0.0,10199.62
31,32,2015.02.02 00:18,close,16,1.02,0.9853799999999999,0.96368,0,114.43,10314.05
32,33,2015.02.02 22:54,buy,17,1.03,0.98141,0.96121,0,0.0,10314.05
33,34,2015.02.03 01:05,close,17,1.03,0.9809100000000001,0.96121,0,-37.98,10276.07
34,35,2015.02.04 22:00,sell,18,1.03,0.9775299999999999,0.9977299999999999,0,0.0,10276.07
